lemma,pos,sent1,sent2,start1,end1,start2,end2,tag,position1,position2
empire,NOUN,Selkirk persuaded eighty men and four officers to go to Red River where they were to serve as a military force to protect his settlers from the hostile Northwest Company which resented the intrusion of farmers into the fur traders ' empire. ,"Since the land he desired lay within the great northern empire of the Hudson's Bay Company, he purchased great blocks of the Company's stock with the view to controlling its policies. ",233,239,56,62,T,41,10
empire,NOUN,Selkirk persuaded eighty men and four officers to go to Red River where they were to serve as a military force to protect his settlers from the hostile Northwest Company which resented the intrusion of farmers into the fur traders ' empire. ,"His purpose, however, was not to establish an empire, but to assert the principle of divine justice. ",233,239,48,54,F,41,10
assert,VERB,Even now no such claim is asserted. ,He then sold her some capsules that he asserted would take care of the tumors and cysts until she could collect the money for buying his machine. ,26,34,39,47,T,6,8
assert,VERB,Even now no such claim is asserted. ,"His purpose, however, was not to establish an empire, but to assert the principle of divine justice. ",26,34,64,70,F,6,14
invasion,NOUN,"Southern resentment has been over the method of its ending, the invasion, and Reconstruction ; their fears now are of miscegenation and Negro political control in many counties. ",Each failed catastrophically in an invasion of Russia and each brought ruin on the country that worshipped him. ,65,73,35,43,T,12,5
invasion,NOUN,"Immediately, the religious groups of the city were embroiled in an angry dispute over the alleged invasion of a man 's right to freedom of religious belief and conscience. ",Each failed catastrophically in an invasion of Russia and each brought ruin on the country that worshipped him. ,99,107,35,43,F,17,5
ruin,NOUN,"It is true, of course, the uncertainties of life being what they are, that as now and then the Christian killed the lion, homecoming days have been ruined by a visiting team. ","`` You 're working up to something, and if you don't watch out you 'll ruin your whole life one of these days just to prove that the Abernathy family is superior to everything, even a depression ''. ",152,158,73,77,T,31,17
ruin,NOUN,"Adam watched his own hands make the caressing, anxious movement that, when rain falls and nobody comes, and ruin draws close like a cat rubbing against the ankles, has been the ritual of stall vendors, forever. ","They looked at the ruins of the old Roman wall on the lower Via Veneto, then they went to the Farnese Gardens. ",111,115,19,24,F,21,4
worship,NOUN,"It could be argued that only such neighborhoods can sustain religious activity, since worship presupposes some local stabilities. ","The transmutation of mission to co-optation is further indicated by the insignificance of educational activities, worship, preaching, and publicity in reaching new members. ",87,94,115,122,T,14,16
worship,NOUN,But you don't have to worship in the traditional way. ,"Individuals possessing unusual gifts and great personal power were transmuted at death into awesome spirits ; they were almost immediately worshipped for these newer, even more terrible abilities. ",23,30,139,149,F,6,20
climax,NOUN,Their activities will be climaxed in the spring of 1962 when they go to Europe. ,"To climax her Roman revels, she was thrown out of the swanky Hotel Excelsior after she had run naked through its marble halls screaming for help. ",25,33,3,9,T,4,1
climax,NOUN,"Like Eliot, in my fantasies, I had a proud bearing and, with a skill that was vaguely continental, I would lead Jessica through an evening of dancing and handsome descriptions of my newest exploits, would guide her gently to the night 's climax which, in my dreams, was always represented by our almost suffocating one another to death with deep, moist kisses burning with love. ",Marriage manuals and women 's magazine articles began to stress the importance of the female climax. ,243,249,93,99,F,47,15
collapse,VERB,"Isaac Pitt, one of the men from Lincoln, had taken a musket ball in his belly ; and though he had found the strength to run with us, now he collapsed and lay on the ground, dying, the Reverend holding his head and wiping his hot brow. ","The congregation perishes when it is no longer possible to replenish that core from the neighborhood ; moreover, residential mobility is so high in metropolitan areas that churches have to recruit constantly in their core stratum in order to survive ; they can lose higher - and lower status members from the church without collapsing, but they need adequate recruits for the core stratum in order to preserve economic integration. ",143,152,325,335,T,33,55
collapse,VERB,"Isaac Pitt, one of the men from Lincoln, had taken a musket ball in his belly ; and though he had found the strength to run with us, now he collapsed and lay on the ground, dying, the Reverend holding his head and wiping his hot brow. ","By the same means he perceives this fact as having communicated itself to the audience ; he collapses, and dies. ",143,152,92,101,F,33,17
campaign,VERB,"Sandman said : `` The announcement that Sen. Clifford Case R-N. J., has decided to spend all his available time campaigning for Mr. Mitchell is a dead giveaway. ","In 1949 the Dixiecrats escaped unscathed after their 1948 rebellion against Harry Truman, and in 1957, after Congressman Adam Clayton Powell campaigned for Dwight Eisenhower in 1956, his fellow Democrats did not touch his committee assignments, although they did strip him temporarily of his patronage. ",113,124,143,153,T,21,23
campaign,VERB,"Sandman said : `` The announcement that Sen. Clifford Case R-N. J., has decided to spend all his available time campaigning for Mr. Mitchell is a dead giveaway. ",But I shall campaign on the Meyner record to meet the needs of the years ahead ''. ,113,124,12,20,F,21,3
chapter,NOUN,"These examples are illustrative of the use of the words `` trial '' and `` experiment '' as they are used in this chapter, but they are quite flexible words and it is well not to restrict them too narrowly. ",See Chapter 5. ,114,121,4,11,T,23,1
chapter,NOUN,"These examples are illustrative of the use of the words `` trial '' and `` experiment '' as they are used in this chapter, but they are quite flexible words and it is well not to restrict them too narrowly. ",To Spahn will go the Sid Mercer Memorial Award as the chapter 's player of the year. ,114,121,54,61,F,23,11
beginning,NOUN,"As one would surmise, the procedure, however, could be repeated with the same object or with the same type of object often enough, so that the corresponding visual blots and the merest beginning of the tracing movement would provide clues as to the actual shape, which the patient then immediately could determine by a kind of inference. ","As Origen interprets the end of history on the basis of its beginning, so Irenaeus portrays the story of Adam on the basis of the story of Christ. ",189,198,60,69,T,36,12
beginning,NOUN,"As one would surmise, the procedure, however, could be repeated with the same object or with the same type of object often enough, so that the corresponding visual blots and the merest beginning of the tracing movement would provide clues as to the actual shape, which the patient then immediately could determine by a kind of inference. ","In a series of fairy tales and fantasies, Melies demonstrated that the film is superbly equipped to tell a straightforward story, with beginning, middle and end, complications, resolutions, climaxes, and conclusions. ",189,198,137,146,F,36,24
reaction,NOUN,"He, of course, must have been equally unprepared for what confronted him, but, nonetheless, I did find his reaction startling. ",These reactions were interpreted as being manifestations of hypoadrenocorticism. ,112,120,6,15,T,23,1
reaction,NOUN,"He, of course, must have been equally unprepared for what confronted him, but, nonetheless, I did find his reaction startling. ",The samples for liquid phase thermal reaction studies were prepared in Pyrex capillary tubing 2.5 mm. i.d. and about 15 cm. long. ,112,120,37,45,F,23,6
repel,VERB,The strong negative field his suit set up would help to repel bacteria and insects. ,"This comes out in `` When the Bells Ring '', which describes the rallying of the peasants in southern Sweden to repel an invasion by the Danes. ",56,61,113,118,T,11,22
repel,VERB,The strong negative field his suit set up would help to repel bacteria and insects. ,"In the vases this spirit may perhaps at times bore or repel one in its internal self-satisfaction, but the best of the Geometric pins have rightly been considered among the most beautiful ever made in the Greek world. ",56,61,54,59,F,11,11
escape,VERB,"It was as though, in that instant, he had felt the flatness of collage as too constricting and had suddenly tried to escape all the way back - or forward - to literal three-dimensionality. ","Christine 's twin sister, Patricia, and Darlene Kowalski, 8, escaped with minor burns. ",119,125,65,72,T,24,13
escape,VERB,"It was as though, in that instant, he had felt the flatness of collage as too constricting and had suddenly tried to escape all the way back - or forward - to literal three-dimensionality. ","As long as there were two human beings working together on the same project, there would be competition and you could no more escape it than you could expect to escape the grave. ",119,125,162,168,F,24,31
turkey,NOUN,"He stroked the hens and they responded with delighted clucks, he gobbled with the turkeys and they at once were all attention, he quacked with the ducks, and cackled with a pair of exceedingly flattered geese. ","He put his chin on his kneecap, stretching his neck like that of a turkey on a chopping block, and stared wordlessly at his sergeant. ",83,90,68,74,T,15,15
turkey,NOUN,"He stroked the hens and they responded with delighted clucks, he gobbled with the turkeys and they at once were all attention, he quacked with the ducks, and cackled with a pair of exceedingly flattered geese. ","In `` The King 's Ride '', Charles breaks out of a long period of petulance and inertia, regains his old self, escapes from Turkey, and finally reaches his own land after an absence of eighteen years. ",83,90,127,133,F,15,27
absence,NOUN,"The suburban high school, it is worth noting, also is not a widely comprehensive high school because of the absence of vocational programs. ",Position ( 2 ) appears to us to be unlikely in view of the absence of a piezoelectric effect and on general chemical structural grounds. ,110,117,59,66,T,21,14
absence,NOUN,"The suburban high school, it is worth noting, also is not a widely comprehensive high school because of the absence of vocational programs. ",This baffling lack of distinct details recalls the secretary whose employer was leaving the office and told her what to answer if anyone called in his absence. ,110,117,151,158,F,21,26
plunge,VERB,"Like a man making a deep dive, Greg took full breath and plunged back into the valley. ","I would have stood there and died there if left to myself, but Cousin Simmons grabbed my arm in his viselike grip and fairly plucked me out of there ; and then I came to some sanity and plunged away with such extraordinary speed that I outdistanced Cousin Simmons by far. ",58,65,187,194,T,13,39
plunge,VERB,"Like a man making a deep dive, Greg took full breath and plunged back into the valley. ",But at least the pessimists who believed that the world organization had plunged to its death in that plane crash in the Congo have been proved wrong. ,58,65,73,80,F,13,12
kill,VERB,In the last war Russia lost more than ten million killed and its lands and factories were devastated. ,It would have killed you in the cabin. ,50,56,14,20,T,10,3
kill,VERB,In the last war Russia lost more than ten million killed and its lands and factories were devastated. ,"In combat, helping your CO make a fool of himself might mean getting yourself killed. ",50,56,79,85,F,10,15
feeling,NOUN,"A word taken in its dictionary meaning, a photographic image of a recognizable object, the mere picturing of a `` scene '' tends to lose experiential vividness and to connote such conventional abstractions as to invite neutral reception without the incitement of value feelings. ","As I have been intimating, in the schizophrenic - and perhaps also in the dreams of the neurotic ; this is a question which I have no wish to take up - condensation is a phenomenon in which one finds not a condensed expression of various feelings and ideas which are, at an unconscious level, well sorted out, but rather a condensed expression of feelings and ideas which, even in the unconscious, have yet to become well differentiated from one another. ",271,279,239,247,T,45,47
feeling,NOUN,"A word taken in its dictionary meaning, a photographic image of a recognizable object, the mere picturing of a `` scene '' tends to lose experiential vividness and to connote such conventional abstractions as to invite neutral reception without the incitement of value feelings. ","Dreams that display events of the future with photographic detail call for a theory explaining their basic mystery and all its components, including that weird feeling of deja vu, inevitably fantastic though that theory must seem. ",271,279,161,168,F,45,26
symbol,NOUN,But the symbols he is asked to learn are simple. ,"The child with high anxiety may first direct his anxiety released energy toward achievement, but because his distress severely reduces the abilities of discrimination and memorization of complex symbols, the child may fail in his initial attempts to master the problem. ",8,15,196,203,T,2,29
symbol,NOUN,But the symbols he is asked to learn are simple. ,Parson Weems 's George Washington became the symbol of honesty and the father image of the uniting States. ,8,15,45,51,F,2,7
history,NOUN,"His own testimony is that he has read very little in the history of the South, implying that what he knows of that history has come to him orally and that he knows the world around him primarily from his own unassisted observation. ","Everything from poetry to phonetics, history to histrionics, philosophy to party games has been adapted to the turntable. ",116,123,38,45,T,24,6
history,NOUN,"His own testimony is that he has read very little in the history of the South, implying that what he knows of that history has come to him orally and that he knows the world around him primarily from his own unassisted observation. ","His history is his alone, yet each man must recognize his own history in it. ",116,123,63,70,F,24,13
write,VERB,We would write to one another and make a definite plan. ,"writes : Does numbness in the left hand at night, which awakens the person, indicate brain tumor? ",9,14,0,6,T,2,0
write,VERB,We would write to one another and make a definite plan. ,"Everett Miller, then assistant director for the Garrick Gaieties, a Theatre Guild production, needed a lyricist for a song he had written ; he just happened not to need any actor at the moment, however. ",9,14,133,140,F,2,24
fire,NOUN,"His long nose wiggled at the smells of frizzling bacon and heating java, but the fire was low, and he wanted to waste no time. ",If there was a fire or a flood he would save Mama first and Violet next. ,82,86,15,19,T,16,4
fire,NOUN,"His long nose wiggled at the smells of frizzling bacon and heating java, but the fire was low, and he wanted to waste no time. ","A fire had just been lighted, he saw, and things had been set out for drinks, and, like any stray, his response to these comforts was instantaneous. ",82,86,2,6,F,16,1
sing,VERB,"Sat there and as a woman sang, she kept getting thinner and thinner, right before my eyes, and the eyes of some 5500 other people. ","But who cares, when the lady sings? ",25,29,30,35,T,6,7
sing,VERB,"Sat there and as a woman sang, she kept getting thinner and thinner, right before my eyes, and the eyes of some 5500 other people. ",And I would further note that they all - with one exception again - sang in one key or another the same song. ,25,29,68,72,F,6,14
body,NOUN,"In a confused, soaked and stumbling shift of bodies and lifting arms, the two men were dragged into the same skiff. ","A British writer, Richard Haestier, in a book, Dead Men Tell Tales, recalls that in the turmoil preceding French Revolution the body of Henry /4,, who had died nearly 180 years earlier, was torn to pieces by a mob. ",46,52,132,136,T,9,25
body,NOUN,"In a confused, soaked and stumbling shift of bodies and lifting arms, the two men were dragged into the same skiff. ","The connective system, or network, is tailored to meet the requirements of the objective, and it is therefore not surprising that a military body acting as a single coordinated unit has a different communication network than a factory, a college, or a rural village. ",46,52,144,148,F,9,26
lay,VERB,"If laying ties on a railroad track, which he once did for $ 1 an hour, paid more than playing right field for the Yankees, Maris would lay ties on a railroad track. ","Perhaps after the soldiers had laid him on the ground, while Joseph of Arimathea was at Pontius Pilate 's asking for Christ 's body, Nicodemus was gathering his mixture of myrrh and aloes, and the others had gone home to mourn. ",3,9,31,35,T,1,5
lay,VERB,"If laying ties on a railroad track, which he once did for $ 1 an hour, paid more than playing right field for the Yankees, Maris would lay ties on a railroad track. ",The illustrations in fig. 8 show how to lay a concrete block wall. ,3,9,40,43,F,1,8
echo,VERB,"`` Just you wait '', advised Arlene, echoing the dialogue in a recent British movie. ","`` A public of one '', Mary echoed reprovingly. ",39,46,29,35,T,9,8
echo,VERB,"`` Just you wait '', advised Arlene, echoing the dialogue in a recent British movie. ","The weird, insane sound of the Rebel yell reverberated again and echoed from the distant hills. ",39,46,66,72,F,9,12
appeal,NOUN,"The recommendation of the Department - as well as the decision of the appeal board - was based entirely on the local board file, not on an FBI report. ","Having had every opportunity to rebut the finding of the local board before both the hearing officer and the appeal board, petitioner cannot now claim that he was denied due process because he did not succeed. ",70,76,109,115,T,13,19
appeal,NOUN,"The recommendation of the Department - as well as the decision of the appeal board - was based entirely on the local board file, not on an FBI report. ","Says Wallace F. Jannsen, director of the FDA 's Division of Public Information : `` Quacks are apt to direct their appeal directly to older people, or to sufferers from chronic ailments such as arthritis, rheumatism, diabetes, and cancer. ",70,76,116,122,F,13,22
intend,VERB,"Such efforts almost always find themselves compelled to ask whether Adam was created capable of growing old and then older and then still older, in short, whether Adam 's life was intended to be part of the process of time. ",He 'd told Hank Maguire and Luis Hernandez about his wife 's refusal to come with him and about what he now intended to do. ,182,190,108,116,T,33,22
intend,VERB,"Such efforts almost always find themselves compelled to ask whether Adam was created capable of growing old and then older and then still older, in short, whether Adam 's life was intended to be part of the process of time. ","Among the Moliere specialists of some years ago, Louis Jouvet tried to humanize some of the clowns, while Fernand Ledoux, often performing at the Comedie, made them more gross than Moliere may have intended. ",182,190,202,210,F,33,37
introduction,NOUN,He waved at Fox to cut off the finale introduction. ,The introduction of the United States Pharmacopoeia reference standard in 1952 and the redefinition and equating of the USP and international units of thyroid stimulating activity have made it possible to compare results published by different investigators since that time. ,38,50,4,16,T,9,1
introduction,NOUN,"Admirably written, it is a perfect introduction to Swedish history for readers of other countries. ","For the most part, this discussion will be confined to results obtained since the introduction of the reference standard. ",36,48,83,95,F,7,15
touch,VERB,Also make sure thermometer does not touch the revolving spit or hit the coals. ,He wiped the steering wheel and all the places he might have touched the Jeep. ,36,41,61,68,T,6,12
touch,VERB,Also make sure thermometer does not touch the revolving spit or hit the coals. ,"In a symposium and general exploration of the field of Person Perception and Interpersonal Behavior the discussion does not touch upon this aspect of the subject, with one possible exception ; Solomon Asch shows the transcultural stability of metaphors based on sensation ( hot, sweet, bitter, etc. ) dealing with personal qualities of human beings and events. ",36,41,124,129,F,6,19
suit,NOUN,Teachers - men who wore brown suits and had gray hair and pleasant smiles - came to their table to talk shop and to be introduced to Scotty and Rachel. ,It was just somebody in a man 's suit. ,30,35,33,37,T,6,8
suit,NOUN,Teachers - men who wore brown suits and had gray hair and pleasant smiles - came to their table to talk shop and to be introduced to Scotty and Rachel. ,"We repeat, that the test of a violation of 7 is whether, at the time of suit, there is a reasonable probability that the acquisition is likely to result in the condemned restraints. ",30,35,74,78,F,6,18
romance,NOUN,"The moonlit night was made for romance, and he had been looking at her soulfully for some time. ","He imagined they were the kind whose tax returns were never examined ( if they were, they were never penalized ), whose children had no unhappy romances, whose names never knew scandal. ",31,38,146,154,T,6,28
romance,NOUN,The record teems with romance and adventure. ,"The moonlit night was made for romance, and he had been looking at her soulfully for some time. ",22,29,31,38,F,4,6
chance,NOUN,To minimize the chances of repeating the Balafrej debacle the Ibrahim government was formed a titer personnel and a special office was created in the Ministry of the Interior to plan and to conduct the elections. ,`` I ai n't taking no goddamned chances for no Jew business ''. ,16,23,32,39,T,3,7
chance,NOUN,To minimize the chances of repeating the Balafrej debacle the Ibrahim government was formed a titer personnel and a special office was created in the Ministry of the Interior to plan and to conduct the elections. ,Boxell did not have the chance to grow up graciously. ,16,23,24,30,F,3,5
attain,VERB,"She was wearing her dark hair in two, thick braids to attain an `` American Girl '' effect she thought was appropriate to Halloween. ",A heterogeneous people have needed it to attain an element of cultural and political cohesion in a new and ever changing land. ,55,61,41,47,T,12,7
attain,VERB,"She was wearing her dark hair in two, thick braids to attain an `` American Girl '' effect she thought was appropriate to Halloween. ","Not that such a list cannot be constructed ; but the nearer it comes to attaining universality, the less significant will it be linguistically. ",55,61,72,81,F,12,15
bear,VERB,"At this point, unfortunately, romance becomes a regrettably small part of the picture ; but consider, if you can bear it, what might have happened if MacArthur, for some perverse, undaunted reason, had made the same remark to an Eskimo girl in Eskimo. ","He put the shells on the table, as though he could no longer bear to hold them. ",116,120,62,66,T,22,14
bear,VERB,"At this point, unfortunately, romance becomes a regrettably small part of the picture ; but consider, if you can bear it, what might have happened if MacArthur, for some perverse, undaunted reason, had made the same remark to an Eskimo girl in Eskimo. ","Almost every film bearing the imprimatur of Hollywood is physically authentic - in fact, impeccably so. ",116,120,18,25,F,22,3
village,NOUN,"The conversation of the characters creates an atmosphere suggesting the usual mixture of pleasures, foibles, irritations, and concerns which would characterize the common life of a normal village in any age. ","Now they learn that men can change their surroundings, through their traditional village elders, without violence. ",191,198,82,89,T,30,13
village,NOUN,"The conversation of the characters creates an atmosphere suggesting the usual mixture of pleasures, foibles, irritations, and concerns which would characterize the common life of a normal village in any age. ","The seemingly quiet ocean had crashed a wall of water from 10 to 100 feet high upon beaches crowded with bathers, drowning thousands of them and flattening villages along the shore. ",191,198,157,165,F,30,28
feed,VERB,"For prevention of ketosis, feed 1 4 pound per head daily for 6 weeks commencing at calving time. ","Then, for the above parasites, feed continuously at these levels : ",28,32,33,37,T,5,7
feed,VERB,"For prevention of ketosis, feed 1 4 pound per head daily for 6 weeks commencing at calving time. ","The good ones are not motivated to seek vainly, nor are they disposed to covet comfort, or they would have been led to fields that offer comfort and feed vanity. ",28,32,151,155,F,5,30
educate,VERB,"As Mr. Palmer was educated to house-building only, and had never seen a structure of this nature ; he certainly deserves not a little credit for the invention ''. ",Educate the city employes to give real service to the public. ,18,26,0,7,T,4,0
educate,VERB,"As Mr. Palmer was educated to house-building only, and had never seen a structure of this nature ; he certainly deserves not a little credit for the invention ''. ","These men - for the most part educated in our `` best '' New England colleges, well established financially and socially in the community - under kindly but insistent probing, reveal little or no objective or explicit criteria or data for their generalizations about the interests and attitudes of the people they claim to serve, or about the public responses that actually follow their occasional breach of a `` client-service relationship ''. ",18,26,30,38,F,4,7
instruction,NOUN,Decca is not the only large commercial company to impart instruction. ,"There 's more reading and instruction to be heard on discs than ever before, although the spoken rather than the sung word is as old as Thomas Alva Edison 's first experiment in recorded sound. ",57,68,26,37,T,10,5
instruction,NOUN,Decca is not the only large commercial company to impart instruction. ,"He left with all the joyous spirit of a child going on a holiday, nodding attentively as Rector gave him his final instructions. ",57,68,116,128,F,10,23
teach,VERB,`` We have taught him a lesson ''. ,"Young Morris, who, while attending the University of Pennsylvania, also taught and edited a paper, found time to write Henrietta twenty page letters on everything that engaged his interest, from the acting of Sarah Bernhardt in Philadelphia to his reactions to the comments of `` Sulamith '' on the Jewish reform movement being promulgated by the Hebrew Union College in Cincinnati. ",11,17,75,81,T,3,13
teach,VERB,`` We have taught him a lesson ''. ,"By using instruments of gradually increasing size, the vagina is gently, and with minimum pain at each stage, taught to yield to an object of the appropriate shape. ",11,17,113,119,F,3,21
reading,NOUN,"Oddly enough, it is proven that there would be less reading difficulty. ",Clearly what the person brings to the reading is important. ,53,60,38,45,T,11,7
reading,NOUN,"Oddly enough, it is proven that there would be less reading difficulty. ","But, from our reading of the Western Talmud, we Urielites believe that the Forerunner, knowing this situation would arise, made reference to and provision for divorce. ",53,60,15,22,F,11,4
exhaust,VERB,He could now but the weakness is very definite ; it would exhaust him further and unnecessarily. ,"It was `` Duty '' he said that his parents had given him as a rule - beyond even the love that suffused his being and the sense of humor with which he was largely supplied - and it was duty he would perform, though it cost him acute pain and exhausted him by the age of fifty. ",58,65,243,252,T,12,52
exhaust,VERB,He could now but the weakness is very definite ; it would exhaust him further and unnecessarily. ,"This, however, will not exhaust their practical usefulness, as they rather clearly indicate what thorough phonologic investigation can contribute to orthography design. ",58,65,26,33,F,12,6
teaching,NOUN,"Besides, Miss Henrietta - as she was generally known since she had put up her hair with a chignon in the back - had little time to spare them from her teaching and writing ; so Cyrus Adler became interested in her friend Racie Friedenwald, and Joe Jastrow - the only young man who when he wrote had the temerity to address her as Henrietta, and signed himself Joe - fell in love with pretty sister Rachel. ","Time and again in counseling and teaching, one encounters members of this group whose attempts to bring into some kind of unity the insubstantial mythologies of their `` fundamentalist '' heritage and the stubborn reality of the modern world are only too painfully obvious. ",152,160,33,41,T,32,6
teaching,NOUN,"Besides, Miss Henrietta - as she was generally known since she had put up her hair with a chignon in the back - had little time to spare them from her teaching and writing ; so Cyrus Adler became interested in her friend Racie Friedenwald, and Joe Jastrow - the only young man who when he wrote had the temerity to address her as Henrietta, and signed himself Joe - fell in love with pretty sister Rachel. ",Much effort has been expended in the sincere effort to apply the teaching and admonitions of religion. ,152,160,65,73,F,32,12
learn,VERB,"The chief, annoyed by these questions, knocks Voltaire down and shouts at him that he not only never went to any school, but never even learned how to read. ","We have learned from earthquakes much of what we now know about the earth 's interior, for they send waves through the earth which emerge with information about the materials through which they have traveled. ",139,146,8,15,T,28,2
learn,VERB,"The chief, annoyed by these questions, knocks Voltaire down and shouts at him that he not only never went to any school, but never even learned how to read. ","He expressed surprise to learn that pretty, blonde Patricia Holbrook, 16, of Mount Rainier, had attended the Joseph P. Kennedy School for the Handicapped in Boston. ",139,146,25,30,F,28,4
drawing,NOUN,"But at the end of the sitting, when Michelangelo showed him the quick, free drawings, with the mother roughed in, holding her son, the model grasped what Michelangelo was after, and promised to speak to his friends. ","Makes drawings and plans of rooms showing placement of furniture, floor coverings, wall decorations, and determines color schemes. ",78,86,6,14,T,16,1
drawing,NOUN,"But at the end of the sitting, when Michelangelo showed him the quick, free drawings, with the mother roughed in, holding her son, the model grasped what Michelangelo was after, and promised to speak to his friends. ",Drawing and models were his thinking. ,78,86,0,7,F,16,0
shop,VERB,"As America on wheels was responsible for an industry of motor courts, motels, and drive-in establishments where you can dine, see a movie, shop, or make a bank deposit, the ever-increasing number of boating enthusiasts have sparked industries designed especially to accommodate them. ","Though Americans usually lived in groups segregated by national origin or religious belief, they liked to work and shop in the noise and vitality of downtown. ",143,147,116,120,T,27,19
shop,VERB,"As America on wheels was responsible for an industry of motor courts, motels, and drive-in establishments where you can dine, see a movie, shop, or make a bank deposit, the ever-increasing number of boating enthusiasts have sparked industries designed especially to accommodate them. ","And if the affection for the suburban branch reflects a desire to shop with `` nice people '', rather than with the indiscriminate urban mass which supports the downtown department store, the central location may be in serious trouble. ",143,147,66,70,F,27,12
medicine,NOUN,The sick were always receiving medicines. ,"There are, he thought, so few true means of forgetfulness in this life that why should he shun the medicine even when the medicine seemed, as it did, a little crude? ",31,40,124,132,T,5,25
medicine,NOUN,The sick were always receiving medicines. ,"While Hans devoted himself to the sciences of medicine, physics, and astronomy, his brother studied law. ",31,40,46,54,F,5,8
found,VERB,"Founded in the Ninth Century B. C. it was called Byzantium 200 years later when Byzas, ruler of the Megarians, expanded the settlement and named it after himself. ","Thus creativity may run all the way from making a cake, building a chicken coop, or producing a book, to founding a business, creating a League of Nations or, developing a mature character. ",0,7,108,116,T,0,23
found,VERB,"Founded in the Ninth Century B. C. it was called Byzantium 200 years later when Byzas, ruler of the Megarians, expanded the settlement and named it after himself. ","At first glance this appears strange : of all people, was not America founded by rugged individualists who established a new way of life still inspiring `` undeveloped '' societies abroad? ",0,7,71,78,F,0,14
university,NOUN,"There will be no mitigation of these offences until all art schools, whether independent or attached to universities have separate accreditation - as do medical schools - by an art accreditation group such as the `` National Association of Schools of Art ''. ","The state universities of Maine, New Hampshire, And Vermont are older and more `` respectable '' ; they had less immigration to contend with. ",105,117,10,22,T,18,2
university,NOUN,"There will be no mitigation of these offences until all art schools, whether independent or attached to universities have separate accreditation - as do medical schools - by an art accreditation group such as the `` National Association of Schools of Art ''. ","In September ' 76 Thomas Huxley, Darwin 's famous disciple, came from England to speak in a crowded auditorium at the formal opening of the University ; and although it was a school for men only, it afforded Henrietta an opportunity to attend its public lectures. ",105,117,142,152,F,18,27
prepare,VERB,"The eternal Christ may knock at your soul 's door, calling you to give up sin and prepare for heaven. ","This can be justified thermodynamically in this case, and this will be done in a separate paper which is being prepared. ",83,90,112,120,T,18,21
prepare,VERB,"The eternal Christ may knock at your soul 's door, calling you to give up sin and prepare for heaven. ",Prosecutor Baird immediately assumed he was hiding out there after the shooting and began preparing an indictment. ,83,90,90,99,F,18,14
session,NOUN,"To prevent the manager from deliberately controlling himself only during the sessions, they were rather lengthy ( about twenty minutes ), the situations were imperfectly described to the manager so that he would not know what to expect, new antagonists were brought on the scene unexpectedly, and the antagonists were instructed to deliberately behave in such ways as to upset the manager and get him to operate in a manner for which he had been previously criticized. ","Neither of them, I understood, had been present at the filming session earlier. ",77,85,65,72,T,11,13
session,NOUN,"To prevent the manager from deliberately controlling himself only during the sessions, they were rather lengthy ( about twenty minutes ), the situations were imperfectly described to the manager so that he would not know what to expect, new antagonists were brought on the scene unexpectedly, and the antagonists were instructed to deliberately behave in such ways as to upset the manager and get him to operate in a manner for which he had been previously criticized. ","As a contemporary bonus, the set includes Carl Sandburg 's address at a joint session of Congress, delivered on Lincoln 's birthday two years ago. ",77,85,79,86,F,11,15
study,NOUN,Recent studies by Weston and Stack had indicated that a turbine aerator could be added to an oxidation pond to increase the rate of oxygen transfer. ,"Apparently, however, Miller has relied heavily on the anatomy in dogs and cats, and he has been criticized for using pathologic human material in his normal study ( Loosli, ' 38 ). ",7,14,160,165,T,1,29
study,NOUN,Recent studies by Weston and Stack had indicated that a turbine aerator could be added to an oxidation pond to increase the rate of oxygen transfer. ,A study of the hydrogen line profiles indicates that a measurement of these profiles can be used to calculate a temperature for the arc plasma that is reliable to about * * f percent. ,7,14,2,7,F,1,1
joint,NOUN,( Co-optation means to choose by joint action in order to fill a vacancy ; it can also mean the assimilation of centers of power from an environment in order to strengthen an organization. ) ,"In addition, the right to vote the General Motors stock held by du Pont was to be vested in du Pont 's stockholders, other than Christiana and Delaware and the stockholders of Delaware ; du Pont, Christiana, and Delaware were to be enjoined from acquiring stock in or exercising control over General Motors ; du Pont, Christiana, and Delaware were to be prohibited to have any director or officer in common with General Motors, and vice versa ; and General Motors and du Pont were to be ordered to terminate any agreement that provided for the purchase by General Motors of any specified percentage of its requirements of any du Pont manufactured product, or for the grant of exclusive patent rights, or for a grant by General Motors to du Pont of a preferential right to make or sell any chemical discovery of General Motors, or for the maintenance of any joint commercial enterprise by the two companies. ",33,38,867,872,T,6,161
joint,NOUN,"They lay on his lap, palms up, stiffly motionless, the tapered fingers a little thick at the joints. ","Also on the bill at the Fifty-fifth Street is a nice ten minute color film called `` Sunday in Greenwich Village '', a tour of the haunts and joints. ",96,102,143,149,F,20,29
purse,NOUN,"The keys were still in it, and I was miles away before I remembered that my clothes and purse and everything were still in the little cabana where I 'd changed ''. ",His chelas were required to assume the matsyendra posture dressed in hand-woven diapers while he read aloud from Rig-Veda and an assistant guru examined their purses in another room - nothing was stolen ; the purpose was less immediate. ,89,94,159,165,T,19,25
purse,NOUN,"The keys were still in it, and I was miles away before I remembered that my clothes and purse and everything were still in the little cabana where I 'd changed ''. ","The brothers continued to help each other during their studies, sharing a joint purse, lodging together in the dormitory and dining together at the home of their aunt. ",89,94,81,86,F,19,14
